"Reference(s)","Value","Qty","Part Number","Manufacturer","Description","Footprint","Datasheet"
"R2","2.4M","1","RMCF0402FT2M40","Stackpole Electronics Inc","RES 2.4M OHM 1% 1/16W 0402","JetkovKiCADLib:R_0402_NoSilk","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf",""
"R3, R5, R6, R24","180k","4","RMCF0402FT180K","Stackpole Electronics Inc","RES 180K OHM 1% 1/16W 0402","JetkovKiCADLib:R_0402_NoSilk","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf",""
"R4, R7, R27","10k","3","RMCF0402FT10K0","Stackpole Electronics Inc","RES 10K OHM 1% 1/16W 0402","JetkovKiCADLib:R_0402_NoSilk","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf",""
"R8, R9, R10, R11","470R","4","RMCF0402FT470R","Stackpole Electronics Inc","RES 470 OHM 1% 1/16W 0402","JetkovKiCADLib:R_0402_NoSilk","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf",""
"R12","499R","1","RMCF0402FT499R","Stackpole Electronics Inc","RES 499 OHM 1% 1/16W 0402","JetkovKiCADLib:R_0402_NoSilk","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf",""
"R15","499k","1","RMCF0402FT499K","Stackpole Electronics Inc","RES 499K OHM 1% 1/16W 0402","JetkovKiCADLib:R_0402_NoSilk","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf",""
"R16","49R9","1","RMCF0402FT49R9","Stackpole Electronics Inc","RES 49.9 OHM 1% 1/16W 0402","JetkovKiCADLib:R_0402_NoSilk","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf",""
"R19, R20","5.1k","2","RMCF0402FT5K10","Stackpole Electronics Inc","RES 5.1K OHM 1% 1/16W 0402","JetkovKiCADLib:R_0402_NoSilk","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf",""
"R21, R30","487k","2","RMCF0402FT487K","Stackpole Electronics Inc","RES 487K OHM 1% 1/16W 0402","JetkovKiCADLib:R_0402_NoSilk","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf",""
"R22","86.6k","1","RMCF0402FT86K6","Stackpole Electronics Inc","RES 86.6K OHM 1% 1/16W 0402","JetkovKiCADLib:R_0402_NoSilk","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf",""
"R23","300k","1","RMCF0402FT300K","Stackpole Electronics Inc","RES 300K OHM 1% 1/16W 0402","JetkovKiCADLib:R_0402_NoSilk","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf",""
